137	3	1599
137	4	1592
137	5	640
137	6	39
137	7	3
138	0	1585
138	1	79
138	2	79
138	3	1599
138	4	1592
138	5	640
138	6	39
138	7	3
139	0	1585
139	1	79
139	2	79
139	3	1599
139	4	1592
139	5	640
139	6	39
139	7	3
140	0	1585
140	1	79
140	2	79
140	3	1599
140	4	1592
140	5	640
140	6	39
140	7	1
141	0	1585
141	1	79
141	2	79
141	3	1599
141	4	1592
141	5	640
141	6	39
141	7	1
142	0	1585
142	1	79
142	2	79
142	3	1599
142	4	1591
142	5	640
142	6	39
142	7	1
143	0	1585
143	1	79
143	2	79
143	3	1599
143	4	1591
143	5	640
143	6	39
143	7	1
144	0	1585
144	1	79
144	2	79
144	3	1599
144	4	1591
144	5	640
144	6	39
144	7	1
145	0	1585
145	1	79
145	2	79
145	3	1599
145	4	1591
145	5	640
145	6	39
145	7	1
146	0	1585
146	1	79
146	2	79
146	3	1599
146	4	1591
146	5	640
146	6	39
146	7	1
147	0	1585
147	1	79
147	2	79
147	3	1599
147	4	1591
147	5	640
147	6	39
147	7	1
148	0	1585
148	1	79
148	2	79
148	3	1599
148	4	1591
148	5	640
148	6	39
148	7	1
149	0	1585
149	1	79
149	2	79
149	3	1599
149	4	1591
149	5	640
149	6	39
149	7	1
150	0	1585
150	1	79
150	2	79
150	3	1599
150	4	1591
150	5	640
150	6	39
150	7	1
151	0	1591
151	1	79
151	2	79
151	3	1599
151	4	1591
151	5	640
151	6	39
151	7	1
152	0	1591
152	1	79
152	2	79
152	3	1599
152	4	1591
152	5	640
152	6	39
152	7	1
153	0	1591
153	1	79
153	2	79
153	3	1599
153	4	1591
153	5	640
153	6	39
153	7	1
154	0	1591
154	1	79
154	2	79
154	3	1599
154	4	1591
154	5	640
154	6	39
154	7	1
155	0	1591
155	1	79
155	2	79
155	3	1599
155	4	1591
155	5	640
155	6	39
155	7	1
156	0	1591
156	1	79
156	2	79
156	3	1599
156	4	1591
156	5	640
156	6	39
156	7	1
157	0	1591
157	1	79
157	2	79
157	3	1599
157	4	1591
157	5	640
157	6	39
157	7	1
158	0	1591
158	1	79
158	2	79
158	3	1599
158	4	1591
158	5	640
158	6	39
158	7	1
159	0	1591
159	1	79
159	2	79
159	3	1599
159	4	1591
159	5	680
159	6	39
159	7	1
160	0	1591
160	1	119
160	2	119
160	3	1599
160	4	1591
160	5	680
160	6	39
160	7	1
161	0	1591
161	1	119
161	2	119
161	3	1599
161	4	1591
161	5	680
161	6	39
161	7	3
162	0	1591
162	1	119
162	2	119
162	3	1599
162	4	1591
162	5	680
162	6	39
162	7	3
163	0	1591
163	1	119
163	2	119
163	3	1599
163	4	1590
163	5	680
163	6	79
163	7	3
164	0	1591
164	1	119
164	2	119
164	3	1599
164	4	1590
164	5	640
164	6	79
164	7	3
165	0	1591
165	1	119
165	2	119
165	3	1599
165	4	1590
165	5	640
165	6	79
165	7	3
166	0	1591
166	1	119
166	2	119
166	3	1599
166	4	1590
166	5	640
166	6	79
166	7	3
167	0	1591
167	1	119
167	2	119
167	3	1599
167	4	1590
167	5	640
167	6	79
167	7	3
168	0	1591
168	1	119
168	2	119
168	3	1599
168	4	1590
168	5	640
168	6	79
168	7	3
169	0	1590
169	1	119
169	2	119
169	3	1599
169	4	1590
169	5	640
169	6	79
169	7	3
170	0	1590
170	1	119
170	2	119
170	3	1599
170	4	1590
170	5	640
170	6	79
170	7	3
171	0	1590
171	1	119
171	2	119
171	3	1599
171	4	1590
171	5	640
171	6	79
171	7	3
172	0	1590
172	1	119
172	2	119
172	3	1599
172	4	1590
172	5	640
172	6	79
172	7	3
173	0	1590
173	1	119
173	2	119
173	3	1599
173	4	1590
173	5	640
173	6	79
173	7	3
174	0	1590
174	1	119
174	2	119
174	3	1599
174	4	1590
174	5	640
174	6	79
174	7	3
175	0	1590
175	1	119
175	2	119
175	3	1599
175	4	1590
175	5	640
175	6	79
175	7	3
176	0	1590
176	1	119
176	2	119
176	3	1592
176	4	1590
176	5	640
176	6	79
176	7	3
177	0	1590
177	1	119
177	2	119
177	3	1592
177	4	1590
177	5	640
177	6	79
177	7	3
178	0	1590
178	1	119
178	2	119
178	3	1592
178	4	1590
178	5	640
178	6	79
178	7	3
179	0	1590
179	1	119
179	2	119
179	3	1592
179	4	1590
179	5	640
179	6	79
179	7	3
180	0	1590
180	1	119
180	2	119
180	3	1592
180	4	1590
180	5	640
180	6	79
180	7	3
181	0	1590
181	1	119
181	2	119
181	3	1592
181	4	1590
181	5	640
181	6	79
181	7	3
182	0	1590
182	1	119
182	2	119
182	3	1592
182	4	1590
182	5	640
182	6	79
182	7	3
183	0	1590
183	1	119
183	2	119
183	3	1592
183	4	1590
183	5	640
183	6	79
183	7	3
184	0	1590
184	1	119
184	2	119
184	3	1592
184	4	1590
184	5	640
184	6	79
184	7	3
185	0	1590
185	1	119
185	2	119
185	3	1592
185	4	1590
185	5	640
185	6	79
185	7	3
